動畫,#genre#
DISCOVERY Channel,https://epg.pw/stream/319c5f97ee830f559b2c560877a512c63dcae6f87b85de0b16b3c2e0b2da73e7.ctv
DISCOVERY Channel,https://epg.pw/stream/a2144aafb958c4bb3589f9df6024beda5c6263fbbc13a5533b3c6ee080aafde4.ctv
DISCOVERY Channel,https://epg.pw/stream/d8468309472c9d417a81bcb316423dc950e73b236c761ad1a84a4c5ec77b8ddf.ctv
DISCOVERY Channel[geo-blocked],https://epg.pw/stream/647c29c5e7ea72f4ddca27e9b35a80c378320a31dd63c83635a1e4dc9563f36c.m3u8
DISCOVERY Channel,https://epg.pw/stream/a0091ae379d6f4fcdf0df6615bcfe15750b8a5de46e53eecac3f550436731939.ctv
DISCOVERY Channel,https://epg.pw/stream/ac8ed45aef41c39f9052b9b8a21954c6b7188c3b62e726cafd76f57202ef056b.ctv
DISCOVERY Channel,https://epg.pw/stream/a98f48ecf468f9d57116851b07cb66830f6f4b449ecf595168f3f4413a594798.ctv
DISCOVERY HD WORLD,https://epg.pw/stream/1bc64c555d73d0a95b53ebe98466064bfc9390b9f962107ca91d525abe1a2230.ctv
DISCOVERY HD WORLD,https://epg.pw/stream/ae4204e65edfa668722a4ba15a92e8e86a4e456a521508d30506fa06890a1056.ctv
DISCOVERY HD WORLD[geo-blocked],https://epg.pw/stream/2134a90624ac455d7fefca7781424cbfd148afb80d43953889df529a18a30691.ctv
Love Nature,https://epg.pw/stream/d68bfc9eb32498e93b30a24e54b83ea4f314d5395b897f21953f0a5fdce53cfb.ctv
Love Nature,https://epg.pw/stream/79a1e20ca0a998f4e16a902c8894cb57584bbcfc67136570cee16f3c43ab444a.m3u8
Love Nature,https://epg.pw/stream/ba34d9cde3c319ffe61ceeae9a97b9c61a2d82805525f841e48e7916f09e433e.ctv
Love Nature,https://epg.pw/stream/3b361883ea0670452ab29dcd71c67878c468dce309db0b388eca6d3d168fb640.ctv
Love Nature,https://epg.pw/stream/01757667d08b3b8a1585c7d7ac14927666dcb263675d62d5eeb8eef133e5f803.m3u8
Love Nature[geo-blocked],https://epg.pw/stream/9849db79ba9453aafd688291b568d30594427d9643a4bd729c9979b7a78c5abd.m3u8
Love Nature[geo-blocked],https://epg.pw/stream/541de6c31550b182baac3e3ebd1634e8017f318c8915e88f2bc93a7ce51d2054.m3u8
Love Nature[geo-blocked],https://epg.pw/stream/b1eec72e9e13ef72588a2548ba4b4b4e6f58c0efb264ab2185a7c05c3232dd1c.ctv
Love Nature,https://epg.pw/stream/92df452a0fd63094b2b94f01f37a5a46960e9ad03ea4c2d76212de6fe64c486f.ctv
Love Nature,https://epg.pw/stream/59a775f903dae7106d207f628213a59aa6288e6d60e9e77878ad9179e2d1590b.m3u8
Love Nature[geo-blocked],https://epg.pw/stream/a7785efacfc2c8b4ad7e5385aace3c29bca97ca07fc116e0ca8453daba8c0c7a.m3u8
Love Nature,https://epg.pw/stream/f7b068bb292e2391bf9f62ce4850da1eb85ee48afb45752e52253d8b54ded105.ctv
Love Nature[geo-blocked],https://epg.pw/stream/1b8069596246a1a76c297f51aa1addec6c69699a2ced596329c49a339812ec89.m3u8
Love Nature,https://epg.pw/stream/345e1fdc150684196406f401744db3e014300ee05b64f808af2ce7f9e28bea52.m3u8
Love Nature,https://epg.pw/stream/742e044d84d83e145c05c64390c0894190e30d1425fa264b4bb72e700a15eb53.m3u8
綜藝,#genre#
CMusic,https://epg.pw/stream/a008ffd8b7c18ba3537c7f7aa872901c56605c5cc2f94de33b6c710da2199f75.ctv
CMusic,https://epg.pw/stream/22907ccbc5a1bccd0d1d75687bad4764480ed4ca9be899ad53a45cd9ef3b5a1a.m3u8
ROCK Entertainment[geo-blocked],https://epg.pw/stream/2b8eff50105ab2811ad19ada595ce7c8b87463f9be8c8db093135e51e888c9b6.m3u8
ROCK Entertainment[geo-blocked],https://epg.pw/stream/4597c3f3114c62259db0408371f92265125354c3006fe3040d0208aae223c1b2.m3u8
ROCK Entertainment[geo-blocked],https://epg.pw/stream/a0a54daf39539c0bf8e2751e1f1ac44247e9d5aa23f3bd84469a9ddcd21b14af.m3u8
三立都會[geo-blocked],https://epg.pw/stream/be38f112f8b52bcaa1b05b9665f03285ee2c7cc21e6e4147597d19452a5e92ce.m3u8
三立都會[geo-blocked],https://epg.pw/stream/d21f8d5202133eda2315bd4e7359209708b513f72bca85ffa82427371a178592.m3u8
三立都會[geo-blocked],https://epg.pw/stream/fca113becfb9f93e367efdb7568570118c3e235090af855ef1765906e3aab696.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/4d9e764c6da0240811c568375379e574e36aa2d859e2597e27e7fb11c47a267a.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/fc0287daf8043a40fa0761d7e0c2cc07338f43055a9292f95aaa43c99c27e458.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/7a08dc4ceaf5431a3108874912ca3bca4c431e19ceaf489b3739a2a1209029f4.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/281012799431fdfbff87da38b29b0504d73daa69211cbee14b5035fda28a1baa.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/eda07a0a44f8f985b8342e9ca65640fe9ab714cc711aed27b4914a5b96a92bce.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/61711015545fc4dbbd2c7300459a5ed0c429a82752664af8c4805d7690ca540c.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/b53d4ad58a29555b404ff1941a9f0d46aff8948f538a98dab2e82df20bff1303.m3u8
國家地理頻道[geo-blocked],https://epg.pw/stream/3a2649d42122cc17c1d43a6c84944245220feff5af0eedc00dca2ca58984acd1.m3u8
緯來日本,rtmp://9wv7.mine.nu/sat/tv771
緯來日本,rtmp://119.81.124.89/sat/tv771
緯來日本,rtmp://219.80.97.77/sat/tv771
綜合,#genre#
MOMO綜合臺,rtmp://219.80.97.77/sat/tv761
MOMO綜合臺,rtmp://119.81.124.89/sat/tv761
TVBS FHD[geo-blocked],https://epg.pw/stream/d3883406aad4817e156413ea3d9996811cf58c7bd287286175ebed55b0d6ef81.m3u8
TVBS FHD,https://epg.pw/stream/7886429888e3b5404b5f6fa9c0c502f973e769cb43cb46df599c7e0f9e7b405d.ctv
TVBS HD,https://epg.pw/stream/f31656eedea6f4c0d67d1dc6ac5d354971406ff616af3f1b394dbae3a96f5d66.ctv
UDN TV,https://epg.pw/stream/f379059a266fa1912b5ef37ae3edf1240d6229e2e616e06deb610f530279ceb0.m3u8
三立綜合[geo-blocked],https://epg.pw/stream/0d7229089d597c4bb615bbd3e4c3b51523e2323cff38568cbda1cfdb960decc8.m3u8
三立綜合[geo-blocked],https://epg.pw/stream/2ae8ba664e18a15acef81d53edb6f594d9966d599d6a3f4e575718094b9cc14a.m3u8
三立臺灣台[geo-blocked],https://epg.pw/stream/306cd8fabbf7aa6a0002947dced768220d9f61c86638e8bc0aeb848b062f7571.m3u8
三立臺灣台[geo-blocked],https://epg.pw/stream/30276f692f2c720d5301f77d26a452f822d549b2292a0812ee0dfb66f0c14bf4.m3u8
三立臺灣台[geo-blocked],https://epg.pw/stream/a8679c3e816b9a8a82cc00d52064d24984f9cf44a54b02ab6e5b160368ea5433.m3u8
三立臺灣台[geo-blocked],https://epg.pw/stream/bfb4f28ad7b1bc3e20703b9f35b51104a59eca154ec67643bf9d30a8af4b607a.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/997efc575ce4eecfcb679538a4f9c54be7446a346d510616bf2be7b1ab7435e1.ctv
中天亞洲[geo-blocked],https://epg.pw/stream/e732c5b0f80456611d25b92e1185495d63138f4ccb21e866f6b699bf9efab4fe.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/562a3629ec479ba9c24420cf6b1fbeec574e5210f88b5a61ea3166e499faaf1c.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/b81f6176e02059f46abef404107800fe4a24c04e6e7de96bebaf3026278b10cc.m3u8
QQ3群:814716237
中天亞洲[geo-blocked],https://epg.pw/stream/9004b1bb50f49b0069e51250a4e08ff0ede3b514e0a8632d798a938c97e96496.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/3935416c52853087ecbe505d478b224f1b0f7f73a78c45dcc8da10a1871c69af.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/495feafbf6ac5790800f59d4a3056a9c4939fd45a8692d0c375f899f5b0a3754.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/b94bacf3cee45293d736fe24eaec04573c653f15fa06e885556d11e48cc6198d.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/73372cb8dd689e44d1ebe3d82ef9471a91689c73a12e4ee36be961971076aa9e.m3u8
中天亞洲[geo-blocked],https://epg.pw/stream/8a6798174abd50db4eb9bed409842c3b44a4ae5d6a1db4f2ecce8d356fb97f1a.m3u8
中天亞洲,https://epg.pw/stream/09a4d5b1fb36c5a6cab219688d4748270e856166ea28991db0bc492180ddda13.ctv
中視HD,rtmp://219.80.97.77/sat/tv091
中視經典[geo-blocked],https://epg.pw/stream/dea054d87140b75f1e6eff9386ba5ac3c5827d5ae37dc6051c6ec20e5bb4e003.m3u8
中視經典[geo-blocked],https://epg.pw/stream/b94ea4e20a65910b6ed9b14584fdfbf5153004fb79e4e6f4c0d2e09903718e72.m3u8
信吉電視[geo-blocked],https://epg.pw/stream/8adfb2e6619baac3b67be2cce66a782d56daba9407b9ddabfbc4bb5754a1e9a4.m3u8
信大電視[geo-blocked],https://epg.pw/stream/1e4c65704f7281be6d2b884509e760abf8209ede8beba1fe5b1f0b18e268d170.m3u8
八大綜合,https://epg.pw/stream/2af441b2e46e8793d31ac379fb07b65f4d89f32c5a57887d52d36e3e5ab55f82.m3u8
八大綜合[geo-blocked],https://epg.pw/stream/e4e999847989ab2612e8b2389bd6b0cd9328154e41f26e2a5cd7a3955f64073b.m3u8
八大綜合[geo-blocked],https://epg.pw/stream/c1a69db8adc96d2b33127cfcc5f75540f4a008cae6592bd43b03898adee5f9c0.m3u8
八大綜合[geo-blocked],https://epg.pw/stream/7111b5f26e0b39a6562929087146d77de127e340697c94d9a8fa9e70934f6ed1.m3u8
八大綜合[geo-blocked],https://epg.pw/stream/03b1d042fe7c30aa1e7088db5fee0ccdebb2cd01f75ea075a32a40a6d00ecd43.m3u8
國會頻道1[geo-blocked],https://epg.pw/stream/6d44403370d4165533167bbb8049c448ade5a2cb5ca4bf39444cd51b6f952f71.m3u8
國會頻道1[geo-blocked],https://epg.pw/stream/171c13b33f62f9d3b99d6b13d10bf584e45f833e542923c02bd0d68416bdcda0.m3u8
東森綜合[geo-blocked],https://epg.pw/stream/1c97dc1748068285e4b36215d5e07e38ebad2d89846ea3b8ed70aaf92f264ae7.m3u8
東森綜合[geo-blocked],https://epg.pw/stream/68ba09688c13be5615823e69ccf0b885dd9141823926410f5fab4d5edced0e05.m3u8
東森美洲[geo-blocked],https://epg.pw/stream/10dcfb45b0ddd79ac6702607b66cfa90a712386f27466569bca9d193bf835b95.m3u8
東森美洲,https://epg.pw/stream/6c39ab3028c59342214ff47b2f79d643390e281638f08abb03e29305fe206a8f.m3u8
東森美洲,https://epg.pw/stream/e0701d57c2915e350546328dc04e9951131aa7ed3736bea5e9e7d5841474d4f8.m3u8
東森美洲[geo-blocked],https://epg.pw/stream/13f26ca2fbe86636214ba021932fd8ed85a9a71015c08744b460e6c271cca671.m3u8
東森美洲[geo-blocked],https://epg.pw/stream/8ee884aa6827602d9ef1805018b34a4145dc7d204e44746944e7b53eac34cf09.m3u8
東森美洲,https://epg.pw/stream/eafb5a4c607f537c48683f7e7412e1cb63a601f89d3bca31e8ac237746fab093.ctv
東森衛視,https://epg.pw/stream/21bb4928a40b7720b2df336a894cd73f046954763464511045e016b22438b5e3.ctv
東森超視,rtmp://219.80.97.77/sat/tv331
東森超視,rtmp://119.81.124.89/sat/tv331
東風37[geo-blocked],https://epg.pw/stream/5ea1bdb3302117611f2a3a33f51d04aef8232d4a636f6ee76b7abbc05136c2d2.m3u8
民視,rtmp://219.80.97.77/sat/tv051
民視,rtmp://9wv7.mine.nu/sat/tv051
民視[geo-blocked],https://epg.pw/stream/f7d0155f8e91c0df13648fa372d64f90bf1b15643b563dfee3080756c1e77ad1.m3u8
民視[geo-blocked],https://epg.pw/stream/65eb757ff8662a57dd30151116cc63596b1a52fd070c65ff0c7aa2fef1876b73.m3u8
民視,rtmp://119.81.124.89/sat/tv051
民視[geo-blocked],https://epg.pw/stream/759890ecf3c5ede3ae68c067607458a7b94737e14a330f2931b1d43d329dc777.m3u8
民視[geo-blocked],https://epg.pw/stream/0efb7fb7e43d73f248ebf3133c87ddefcdf2e9b1075050afbbb618e3529a6b69.m3u8
民視臺灣台[geo-blocked],https://epg.pw/stream/43d8710d0fb63f9df206c71026c71d98be5d5a058b4e9e452087cddd1c07e202.m3u8
民視臺灣台[geo-blocked],https://epg.pw/stream/40da063d15ab98561e53a35d26486e55c478c926c3545353e13812a5fe2446f5.m3u8
番薯電視[geo-blocked],https://epg.pw/stream/29719a881fa98edec1c00d1b5717064d4d3e8d27450ecf47ddf2cd1cd0970ab7.m3u8
緯來綜合[geo-blocked],https://epg.pw/stream/1bb62481510bab5aea601246b4a88ebdfc59994b84c64e6896ecd3fb27048c0c.m3u8
緯來育樂,rtmp://119.81.124.89/sat/tv701
緯來育樂,rtmp://219.80.97.77/sat/tv701
臺視綜合,https://epg.pw/stream/bb298d04f4b607988117fd50cd4435faf751df2103ef07ac2316887c29b4b778.ctv
華視[geo-blocked],https://epg.pw/stream/93fca76cf7023f3e7079a039edf6055a02c34095e6916e0173199b6fd30de214.m3u8
華視,rtmp://119.81.124.89/sat/tv111
華視,rtmp://9wv7.mine.nu/sat/tv111
華視,rtmp://219.80.97.77/sat/tv111
華視[geo-blocked],https://epg.pw/stream/8ca60b22d98fcf63aef4d5a4378c30579ba559be6136d99d77cf9323fae261ad.m3u8
靖天國際[geo-blocked],https://epg.pw/stream/c838fba93cc4a0080ebbe0161b93069a2afddaaeee01cb5a66f45cc11c92f4da.m3u8
靖天國際[geo-blocked],https://epg.pw/stream/d2a085f2b845cd1bae8a3c21115cd40fabc896a21e3129da1237459eccb37961.m3u8
電影,#genre#
AXN,https://epg.pw/stream/a292feb9c2f6faa12164022b2840df2a8c5428a7fb02bfb7f72be98103ec3ddb.m3u8
AXN,https://epg.pw/stream/e866b3d173f0d3daf76ba152537eb23f6daef1740272183a97b43977c34abf03.ctv
AXN,https://epg.pw/stream/3d4db213cf11accb0f2688cc94ae520ec8ad7f96a765e67ee2bb722675cd17a7.m3u8
AXN,https://epg.pw/stream/f5b83b0ced25a8b3933785830afdb2f1df9a0d4d5327375e0c7377c9e06f081b.ctv
AXN[geo-blocked],https://epg.pw/stream/a008c642081c2195362b5194ff99fdaf6e622f93eabbb34e1381068adddc71e7.ctv
AXN,https://epg.pw/stream/831faf99ab499fc1e27ea3527c32f015f1bfa5e0701b2acaebaa5e9cd02f9d24.m3u8
AXN,https://epg.pw/stream/d73cb6f12457e54ebff272738524e0dfce5311a2ab6f67bcdf75e72f67b571b5.ctv
AXN,https://epg.pw/stream/333a6371ffa50b4dac31dc30cd2e011892dc6cbab9fc4c24bee5ee637129176f.m3u8
AXN,https://epg.pw/stream/4058c9bf34c1fd97423c62f8c5d1c918766f773a47fa2ccfd070a5043e850b57.m3u8
AXN,https://epg.pw/stream/02bfda61b5163576bebf622c22eb998a1f8d90c572a5df7cff730364f70d2352.ctv
AXN,https://epg.pw/stream/f71fb9cbd116ca654df69e498ba17b6a9675c0a2d0149a9beae88d9020f39c90.m3u8
EYE TV戲劇[geo-blocked],https://epg.pw/stream/f2d652dcbce1d64057d467e6e78914b034d6988b739217e058c0d80fc18041fc.m3u8
EYE TV戲劇[geo-blocked],https://epg.pw/stream/d8e8d006d3bee191a1e682a59a5c88cb327f87866bba733bc42e20112852af66.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/154a6105902417d3e057f7d137fa662388cb8310091d78be30bb44f509223cfa.m3u8
Hollywood,https://epg.pw/stream/44cd86ba6e8f8966689c52c70905e0c0ad463dd43d872d1d82892b3ab71731a8.m3u8
Hollywood,https://epg.pw/stream/3b227889dbbcf869c42213f8ed402a180e6fec076450cb4af5dc77230937ea9c.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/ca7d2f66e66cb2a325a143926a1c5292cf714e0f76eeb07b424bef9623683c7f.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/bea78033e6ec1c7d6e005ee6ca444a461dc37b6fa73b0f0de7d32b120e405c15.ctv
Hollywood,https://epg.pw/stream/0f7e85e6aea1bdef52017b1e8a6306878f99e272e01abfd416f0e67bbe6b10b9.ctv
Hollywood,https://epg.pw/stream/72cbaca8d82c08632b1104fb1c5069c0d1145cbdb1bff21c413a353dd9cc8f05.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/02721644b4651024f537977d8052be583c9989ca87041ed983fed3f6a3e47e99.m3u8
Hollywood,https://epg.pw/stream/a4f08f761b34511ccb0aa927f7007b6cee9d5cb0fdc050b3f871fd56635b16be.m3u8
Hollywood,https://epg.pw/stream/bafca3b9a3fba737942b5a6f656d33106fca1d9f039bd79f19d3d9bede900d52.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/25c77143f192d72629ca394fcddad09ecfa2a54878115bdd624a7551021d650e.m3u8
Hollywood,https://epg.pw/stream/08c2779e9779a3fdbdb072f92d3316750e9d2654c2ce4ce65d62b0dc14d6552b.ctv
Hollywood,https://epg.pw/stream/0ce3d4c8a91c11ed77ec218d83eb16b582c574bfb4465c1936a6216966e00bec.m3u8
Hollywood,https://epg.pw/stream/29580dc0e87c435dc7e776ad512d435468aa74baed12149c16c21aa9d8196486.m3u8
Hollywood,https://epg.pw/stream/eee471674e3dc6b07913f4b556e0a303f8401239e52804ab6d26985097c170d7.m3u8
Hollywood[geo-blocked],https://epg.pw/stream/519d13dd6dc045d2b9949a7832ab834add4d0d4814908ba40c803293ac41dd14.ctv
Hollywood[geo-blocked],https://epg.pw/stream/290d1deaeeb2139cc072f6b8baa06124122b186b4aa0088d48a304c6a25787e7.m3u8
Hollywood,https://epg.pw/stream/556e55850af014bd5ba8ecc78319a94ae92ec5dc4e9203725f22754025b69d29.ctv
LINE TV 網路電視[geo-blocked],https://epg.pw/stream/5381fb9c82e1e70b7a86f0c77964023d4ece51d4603c07c1b1fcf405029770c4.m3u8
ROCK Extreme[geo-blocked],https://epg.pw/stream/a858f1f19071880c00913241d9091a0192a9b6e118ef56689b9026912cf5efbc.m3u8
ROCK Extreme[geo-blocked],https://epg.pw/stream/6ab39fdc18dc98e56d0c54579ae0870aaafc01cff8bce229bf8d93fafd3d3c2b.m3u8
三立戲劇[geo-blocked],https://epg.pw/stream/de0a0f008349d5b1938851dba78e0a10eb5e6a60eab6e41b17078d37830ffa14.m3u8
三立戲劇[geo-blocked],https://epg.pw/stream/fdd067e57d7be9fc5cd8391595605463960a3d5c61415521a2cd1682c3146be3.m3u8
三立戲劇[geo-blocked],https://epg.pw/stream/7ef6d0f60737eedeac19b768cf2f593a69de7b2951af69cf14f150ab21f7554f.m3u8
好萊塢電影[geo-blocked],https://epg.pw/stream/c6f9d56a073ee46b17c40a2c70e764b883d7153cd995c6ec43c4cb715114f720.m3u8
好萊塢電影[geo-blocked],https://epg.pw/stream/990944f6151ea839dc83e8e8ccbd5b26d3799d388e209b7f925a1e05f7bf9bcc.m3u8
好萊塢電影[geo-blocked],https://epg.pw/stream/68ce936df6e9f736b448ae1e27c0f6f387f28908c06a73e83a03feec196ea26c.m3u8
好萊塢電影,https://epg.pw/stream/665cffbfd7d4d9cfe8be8b00daa8386d7fd94c34e1fbdc6509966c7a5782af2a.m3u8
好萊塢電影,https://epg.pw/stream/1c6b20e12edd9a52ca487e7a8a8c5a595e26e2430c35818527979b11ffd0d3c2.m3u8
好萊塢電影[geo-blocked],https://epg.pw/stream/7b0bb889a7f584a42dd9ce7a6789fd2395fc003e4161a94ce7628e1451bcbb37.m3u8
好萊塢電影,https://epg.pw/stream/03df7f340404876dda8ce6a38abbd398d8d82382a724fdb85b5cd475f1d0f99f.m3u8
好萊塢電影,https://epg.pw/stream/a903333ac6090aba3ab42a5b5173660c8557af31bf6f00be5ba558d2093b0e6b.m3u8
星衛HD電影[geo-blocked],https://epg.pw/stream/262a597b6edc2e838a6e1f14a1c532265995bf0020217726d646e0f7fec12e13.m3u8
星衛HD電影[geo-blocked],https://epg.pw/stream/6f9b3bf642696df4a4f6d6bc4e35cb3fe03e64d79192eaca09db365528fd87a0.m3u8
東森戲劇,https://epg.pw/stream/bd995e93516fcdae2dc7e69f74a8e6ddcde55333bb97d6b2d1c53eaed7d7bab6.ctv
東森戲劇,https://epg.pw/stream/3b7573ab7758b7f37700688ad98e3f8bbb7e99cd2360787edf1febaa61200e49.m3u8
東森戲劇,https://epg.pw/stream/af6418a130b4f97ee5e454f6045325b35b7785ac31da460b4541b02138cb0f89.m3u8
東森戲劇[geo-blocked],https://epg.pw/stream/c2eec03b02d358e690ab2469bc5ce927c3624bff18ea19e636b13f10c3a21233.m3u8
東森戲劇,https://epg.pw/stream/f690ee45b1e58a8fc56cce922b774ebd80e9769785cc21d761f1c7b248c35f80.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/0c49df88f93859972e79e034c2dd879b8b2bb63617fa0344fb7a858272b05820.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/067bc0ab4c382ff054d2e603d6ca598677afd2535e2867b8bb8679e8a4939248.m3u8
東森洋片,https://epg.pw/stream/75147bfeafd1977e933ae81191d8327dbdb4129cf69bc1ac8719b9a6a95c5835.m3u8
東森洋片,https://epg.pw/stream/5f601ebc801d85c807aca993c41f3e980acbd7f4b2e97c7f67fee0a5e1eda01b.m3u8
東森洋片,https://epg.pw/stream/6b6ad1abd3aa8825dc1ced78b4915da5aff00d565541d6cb1d1fffd8699392ff.ctv
東森洋片[geo-blocked],https://epg.pw/stream/b31a4aef65cf79aeb593a2b6ebda2923554b12d4a8548eb1edde0821deea70a6.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/20c7e96d6a274385376e8f3857ea892cbd98b685fa2650cd1eaec9316b3f924e.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/873c14b48b2255ff23f93b0a0ff26e15e482406bda39863544c4879da3d1f6ec.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/be73b21f3fd5008674bc538ec827bf90a22b38f380d8c6ccf90e6c189d0a05c3.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/4f9e86b73f98f198ac46cfda6c74af20c48ec8c3b1b6f003624fbeccb7bfb069.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/06c79ce4bf8d3c302056d18487b3364f20ce45932c7e2f20ebdb227fae185146.m3u8
東森洋片[geo-blocked],https://epg.pw/stream/14af636af973e997aa0061d2c104fe886e88eac825e73a5eb2314e4b5893ef5f.m3u8
東森電影[geo-blocked],https://epg.pw/stream/0008a55c70d0ee991ebe85ef441a06a2c58839cd9653947ea4da8c41cef21f36.m3u8
東森電影,https://epg.pw/stream/46040f173daf166d063c205a131fdfbfed265adb2cc7da201ee7263e7e5d864b.m3u8
東森電影[geo-blocked],https://epg.pw/stream/4bd5d6b688a70d409a3c2ff041a7e42250d2507862bd338f75be53149bdba9ef.m3u8
東森電影[geo-blocked],https://epg.pw/stream/121d36ffc5518e6cddee677dc351c705727246d95f7c41328acfa3c76d09a4e2.m3u8
東森電影[geo-blocked],https://epg.pw/stream/ef8654ed794aee38ce5fa3edc0c484c745ec70515f63dedf8b7964c35e0fa475.m3u8
東森電影[geo-blocked],https://epg.pw/stream/206bb87d2f1a09c810fda025e2e7fb2c81c23220ae3976fccbb8170bceedf3f3.m3u8
東森電影[geo-blocked],https://epg.pw/stream/191a12f49904fd11f1ebe42dd0313abce3f69d56caa88a7a7f55ab491f337a16.m3u8
東森電影[geo-blocked],https://epg.pw/stream/9591d54557966bcce0f647dd53629ef67a6a4c94b876a3266a601a41580f00de.m3u8
東森電影,https://epg.pw/stream/312b4a69d77e4cbbf99b54af678b7d37d3f7ad9793005e633b45fe0945536626.ctv
東森電影,https://epg.pw/stream/c8ef8b845915b634c7469c4cc3e0642f15d0e0ebe037a6c4a33b25ff731349a0.m3u8
東森電影,https://epg.pw/stream/ab46e062e35cc922a294e16bfdb8143f4643298a17757642bd85ed2c16dad31c.m3u8
東森電影[geo-blocked],https://epg.pw/stream/03eb3564786cb32e22f9c2cabc094966899c378f713343634ee63e134d60b3f1.m3u8
